;Country;Christianisme;Islam;Sans-religion;Hindouisme;Bouddhisme;Religions traditionnelles;Autres;Judaisme
0;Afghanistan;0.001;0.997;0.0;0.0;0.0;0.0;0.0;0.0
1;Albania;0.18;0.8029999999999999;0.013999999999999999;0.0;0.0;0.0;0.002;0.0
2;Algeria;0.002;0.9790000000000001;0.018000000000000002;0.0;0.0;0.0;0.0;0.0
3;Angola;0.905;0.002;0.051;0.0;0.0;0.042;0.0;0.0
4;Argentina;0.852;0.01;0.122;0.0;0.0;0.008;0.003;0.005
5;Armenia;0.985;0.0;0.013000000000000001;0.0;0.0;0.0;0.001;0.0
6;Australia;0.6729999999999999;0.024;0.242;0.013999999999999999;0.027000000000000003;0.006999999999999999;0.008;0.005
7;Austria;0.804;0.054000000000000006;0.135;0.0;0.002;0.0;0.001;0.002
8;Azerbaijan;0.03;0.9690000000000001;0.0;0.0;0.0;0.0;0.0;0.0
9;Bahrain;0.145;0.703;0.019;0.098;0.025;0.0;0.002;0.006
10;Bangladesh;0.003;0.904;0.0;0.085;0.006;0.0;0.0;0.0
11;Belarus;0.7120000000000001;0.002;0.28600000000000003;0.0;0.0;0.0;0.0;0.0
12;Belgium;0.642;0.059000000000000004;0.29;0.0;0.002;0.002;0.0;0.003
13;Belize;0.8759999999999999;0.001;0.08900000000000001;0.002;0.005;0.015;0.001;0.01
14;Benin;0.53;0.23800000000000002;0.05;0.0;0.0;0.18100000000000002;0.0;0.0
15;Bhutan;0.005;0.002;0.0;0.226;0.747;0.019;0.0;0.0
16;Bolivia;0.9390000000000001;0.0;0.040999999999999995;0.0;0.0;0.009000000000000001;0.01;0.0
17;Bosnia and Herzegovina;0.523;0.452;0.025;0.0;0.0;0.0;0.0;0.0
18;Botswana;0.721;0.004;0.20600000000000002;0.003;0.0;0.06;0.006;0.0
19;Brazil;0.889;0.0;0.079;0.0;0.001;0.027999999999999997;0.002;0.0
20;Bulgaria;0.821;0.13699999999999998;0.042;0.0;0.0;0.0;0.0;0.0
21;Burkina Faso;0.225;0.616;0.004;0.0;0.0;0.154;0.0;0.0
22;Burundi;0.915;0.027999999999999997;0.0;0.0;0.0;0.057;0.0;0.0
23;Cambodia;0.004;0.02;0.002;0.0;0.9690000000000001;0.006;0.0;0.0
24;Cameroon;0.703;0.183;0.053;0.0;0.0;0.033;0.027000000000000003;0.0
25;Canada;0.69;0.021;0.237;0.013999999999999999;0.008;0.012;0.009000000000000001;0.01
26;Central African Republic;0.895;0.085;0.01;0.0;0.0;0.01;0.0;0.0
27;Chad;0.406;0.5529999999999999;0.025;0.0;0.0;0.013999999999999999;0.001;0.0
28;Chile;0.894;0.0;0.086;0.0;0.0;0.015;0.002;0.001
29;Colombia;0.925;0.0;0.066;0.0;0.0;0.008;0.0;0.0
30;Comoros;0.005;0.983;0.001;0.0;0.0;0.01;0.0;0.0
31;Congo (Brazzaville);0.8590000000000001;0.012;0.09;0.0;0.0;0.027999999999999997;0.011000000000000001;0.0
32;Congo (Kinshasa);0.958;0.015;0.018000000000000002;0.0;0.0;0.006999999999999999;0.001;0.0
33;Costa Rica;0.909;0.0;0.079;0.0;0.0;0.008;0.003;0.0
34;Croatia;0.934;0.013999999999999999;0.051;0.0;0.0;0.0;0.0;0.0
