Rank,Country,GiniCoeff21,Pop21
1,South Africa,63,60041.9940
2,Namibia,59.1000,2587.3440
3,Zambia,57.1000,18920.6510
4,Sao Tome and Principe,56.3000,223.3680
5,Eswatini,54.6000,1172.3620
6,Mozambique,54,32163.0470
7,Brazil,53.9000,213993.4370
8,Hong Kong S.A.R. of China,53.9000,7552.8100
9,Botswana,53.3000,2397.2410
10,Honduras,52.1000,10062.9910
11,Angola,51.3000,33933.6100
12,Saint Lucia,51.2000,184.4000
13,Papua New Guinea,50.9000,9119.0100
14,Guinea-Bissau,50.7000,2015.4940
15,Colombia,50.4000,51265.8440
16,Panama,49.2000,4381.5790
17,Congo (Brazzaville),48.9000,5657.0130
18,Guatemala,48.3000,18249.8600
19,Costa Rica,48,5139.0520
20,Benin,47.8000,12451.0400
21,Seychelles,46.8000,98.9080
22,Cameroon,46.5000,27224.2650
24,Paraguay,46.2000,7219.6380
23,Nicaragua,46.2000,6702.3850
25,South Sudan,46,11381.3780
26,Saudi Arabia,45.9000,35340.6830
27,Singapore,45.9000,5896.6860
28,Ecuador,45.4000,17888.4750
29,Comoros,45.3000,888.4510
30,Lesotho,44.9000,2159.0790
31,Malawi,44.7000,19647.6840
32,Guyana,44.6000,790.3260
34,Philippines,44.4000,111046.9130
33,Chile,44.4000,19212.3610
35,Zimbabwe,44.3000,15092.1710
37,Rwanda,43.7000,13276.5130
36,Dominican Republic,43.7000,10953.7030
38,Central African Republic,43.6000,4919.9810
39,Ghana,43.5000,31732.1290
40,Chad,43.3000,16914.9850
41,Togo,43.1000,8478.2500
43,Uganda,42.8000,47123.5310
42,Peru,42.8000,33359.4180
44,Madagascar,42.6000,28427.3280
46,Bolivia,42.2000,11832.9400
47,Congo (Kinshasa),42.1000,92377.9930
48,Turkey,41.9000,85042.7380
49,Djibouti,41.6000,1002.1870
50,Ivory Coast,41.5000,27053.6290
51,Argentina,41.4000,45605.8260
54,United States,41.1000,332915.0730
52,Haiti,41.1000,11541.6850
53,Qatar,41.1000,2930.5280
55,Malaysia,41,32776.1940
56,Iran,40.8000,85028.7590
57,Kenya,40.8000,54985.6980
58,Turkmenistan,40.8000,6117.9240
59,Tanzania,40.5000,61498.4370
60,Bulgaria,40.4000,6896.6630
61,Senegal,40.3000,17196.3010
62,Mali,40.1000,20855.7350
64,Sri Lanka,39.8000,21497.3100
65,Uruguay,39.7000,3485.1510
66,Morocco,39.5000,37344.7950
67,Tuvalu,39.1000,11.9310
70,Venezuela,39,28704.9540
68,Israel,39,8789.7740
69,Montenegro,39,628.0530
71,Samoa,38.7000,200.1490
72,Burundi,38.6000,12255.4330
73,El Salvador,38.6000,6518.4990
74,China,38.5000,1444216.1070
75,Gabon,38,2278.8250
76,Cambodia,37.9000,16946.4380
77,Indonesia,37.8000,276361.7830
79,Vanuatu,37.6000,314.4640
78,Tonga,37.6000,106.7600
80,Russia,37.5000,145912.0250
81,Bhutan,37.4000,779.8980
82,Lithuania,37.3000,2689.8620
83,Solomon Islands,37.1000,703.9960
85,Mexico,36.8000,130262.2160
86,Uzbekistan,36.8000,33935.7630
84,Mauritius,36.8000,1273.4330
88,Yemen,36.7000,30490.6400
87,Fiji,36.7000,902.9060
91,Thailand,36.4000,69950.8500
90,Laos,36.4000,7379.3580
89,Georgia,36.4000,3979.7650
93,Serbia,36.2000,8697.5500
92,New Zealand,36.2000,4860.6430
95,Romania,36,19127.7740
94,Falkland Islands,36,3.5330
97,Italy,35.9000,60367.4770
98,India,35.7000,1393409.0380
100,Vietnam,35.7000,98168.8330
99,Sierra Leone,35.7000,8141.3430
101,Latvia,35.6000,1866.9420
102,South Korea,35.4000,51305.1860
103,Burkina Faso,35.3000,21497.0960
104,Liberia,35.3000,5180.2030
105,Nigeria,35.1000,211400.7080
106,Ethiopia,35,117876.2270
107,Jamaica,35,2973.4630
108,Macau,35,658.3940
109,Luxembourg,34.9000,634.8140
110,United Kingdom,34.8000,68207.1160
111,Spain,34.7000,46745.2160
113,Australia,34.4000,25788.2150
114,Greece,34.4000,10370.7440
112,Armenia,34.4000,2968.1270
115,Niger,34.3000,25130.8170
116,Sudan,34.2000,44909.3530
117,Tajikistan,34,9749.6270
118,Greenland,33.9000,56.8770
119,Portugal,33.8000,10167.9250
123,Jordan,33.7000,10269.0210
120,Azerbaijan,33.7000,10223.3420
125,Taiwan Province of China,33.6000,23855.0100
126,Pakistan,33.5000,225199.9370
127,Canada,33.3000,38067.9030
128,Albania,33.2000,2872.9330
129,Bosnia and Herzegovina,33,3263.4660
130,Japan,32.9000,126050.8040
132,Nepal,32.8000,29674.9200
