;Country;Year;Life Ladder;LogGDP;SocialSupport;LifeExpectancy;Freedom;Generosity;Corruption;PosAffect;NegAffect;Region;Regime;AreaInK2;Population;PopAnnualGrowthRate;PopDensity;InfantMortalityRate;Christianisme;Islam;Sans-religion;Hindouisme;Bouddhisme;Religions traditionnelles;Autres;Judaisme
0;Afghanistan;2008;3.724;7.37;0.451;50.8;0.718;0.168;0.882;0.518;0.258;South Asia;Authoritarian;652230;27703539;3.268;42.5;131.62;0.001;0.997;0.0;0.0;0.0;0.0;0.0;0.0
1;Afghanistan;2009;4.402;7.54;0.552;51.2;0.679;0.19;0.85;0.584;0.237;South Asia;Authoritarian;652230;28480801;2.279;43.7;129.69;0.001;0.997;0.0;0.0;0.0;0.0;0.0;0.0
2;Afghanistan;2010;4.758;7.647;0.539;51.6;0.6;0.121;0.707;0.618;0.275;South Asia;Authoritarian;652230;29116851;2.139;44.6;127.79;0.001;0.997;0.0;0.0;0.0;0.0;0.0;0.0
3;Afghanistan;2011;3.832;7.62;0.521;51.92;0.496;0.162;0.731;0.611;0.267;South Asia;Authoritarian;652230;29752169;2.177;45.6;125.79;0.001;0.997;0.0;0.0;0.0;0.0;0.0;0.0
4;Afghanistan;2012;3.783;7.705;0.521;52.24;0.531;0.236;0.776;0.71;0.268;South Asia;Authoritarian;652230;30412510;2.213;46.6;123.82;0.001;0.997;0.0;0.0;0.0;0.0;0.0;0.0
5;Afghanistan;2013;3.572;7.725;0.484;52.56;0.578;0.061;0.823;0.621;0.273;South Asia;Authoritarian;652230;31098161;2.246;47.7;121.88;0.001;0.997;0.0;0.0;0.0;0.0;0.0;0.0
6;Afghanistan;2014;3.131;7.718;0.526;52.88;0.509;0.104;0.871;0.532;0.375;South Asia;Authoritarian;652230;31809829;2.279;48.8;119.96;0.001;0.997;0.0;0.0;0.0;0.0;0.0;0.0
7;Afghanistan;2015;3.983;7.702;0.529;53.2;0.389;0.08;0.881;0.554;0.339;South Asia;Authoritarian;652230;32547550;2.306;49.9;118.07;0.001;0.997;0.0;0.0;0.0;0.0;0.0;0.0
8;Afghanistan;2016;4.22;7.697;0.559;53.0;0.523;0.042;0.793;0.565;0.348;South Asia;Authoritarian;652230;33310667;2.329;51.1;116.13;0.001;0.997;0.0;0.0;0.0;0.0;0.0;0.0
9;Afghanistan;2017;2.662;7.697;0.491;52.8;0.427;-0.121;0.954;0.496;0.371;South Asia;Authoritarian;652230;34097944;2.343;52.3;114.21;0.001;0.997;0.0;0.0;0.0;0.0;0.0;0.0
